"NAME||','||ATTRIB_02||','||ATTRIB_12||','||ATTRIB_13||','||IF_ROW_STAT||','||ATTRIB_26"
"1-68860571,Closed,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-42304015,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-69852551,Closed,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-42300818,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-42303914,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-9892391,,05-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-70524391,Requested,01-OCT-14,20-OCT-14,SUCCESSFUL,20-OCT-14"
"1-70524572,Requested,05-OCT-14,20-OCT-14,SUCCESSFUL,20-OCT-14"
"1-39638131,,01-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-39745055,,01-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-36162004,,01-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-37853880,,01-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-39091805,,01-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-43692401,,01-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-47376041,,01-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-47390691,,01-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-47394351,,01-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-47394531,,01-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-3107517,,20-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-7129401,,20-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-7808863,,20-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-7864181,,20-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-7864731,,20-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-7864871,,20-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-7882801,,20-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-6790084,,05-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-7865091,,05-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-8068901,,05-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-8766065,,05-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-9296891,,05-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-2144261,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2167102,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2416738,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2609021,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-5737847,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-11088181,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-226201,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2143027,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2156681,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2155481,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2153471,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2211641,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-68928901,,01-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-66463911,,01-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-70505461,Closed,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-53348983,,29-AUG-14,17-OCT-14,VALIDATION_FAILED,"
"1-41557681,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-41555201,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-41721701,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-42214642,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-42096401,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-41661421,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-42108301,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-41557201,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-41555101,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-41558651,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-41557861,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-41557981,Requested,29-AUG-14,17-OCT-14,SUCCESSFUL,17-OCT-14"
"1-70439301,,30-AUG-14,17-OCT-14,VALIDATION_FAILED,"
"1-70439417,,30-AUG-14,17-OCT-14,VALIDATION_FAILED,"
"1-70439493,,30-AUG-14,17-OCT-14,VALIDATION_FAILED,"
"1-36162004,Requested,01-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-8766065,Decided,05-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-70439531,,30-AUG-14,17-OCT-14,VALIDATION_FAILED,"
"1-7864382,,10-SEP-14,20-OCT-14,VALIDATION_FAILED,"
"1-7864731,,10-SEP-14,20-OCT-14,VALIDATION_FAILED,"
"1-7808863,,11-SEP-14,20-OCT-14,VALIDATION_FAILED,"
"1-7864181,,11-SEP-14,20-OCT-14,VALIDATION_FAILED,"
"1-66481591,,12-SEP-14,20-OCT-14,VALIDATION_FAILED,"
"1-68714861,,12-SEP-14,20-OCT-14,VALIDATION_FAILED,"
"1-64161699,Requested,13-SEP-14,20-OCT-14,SUCCESSFUL,20-OCT-14"
"1-64163601,Requested,13-SEP-14,20-OCT-14,SUCCESSFUL,20-OCT-14"
"1-8068901,Decided,05-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-9892391,Decided,05-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2416738,Decided,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-226201,Pending,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2155481,Pending,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2164424,,15-SEP-14,16-OCT-14,VALIDATION_FAILED,"
"1-2153471,,15-SEP-14,16-OCT-14,VALIDATION_FAILED,"
"1-2211533,,15-SEP-14,16-OCT-14,VALIDATION_FAILED,"
"1-2211641,,15-SEP-14,16-OCT-14,VALIDATION_FAILED,"
"1-68928301,,01-SEP-14,16-OCT-14,VALIDATION_FAILED,"
"1-68928901,,01-SEP-14,16-OCT-14,VALIDATION_FAILED,"
"1-69989003,,01-SEP-14,16-OCT-14,VALIDATION_FAILED,"
"1-66463911,,01-SEP-14,16-OCT-14,VALIDATION_FAILED,"
"1-41215071,,01-SEP-14,16-OCT-14,VALIDATION_FAILED,"
"1-7864382,,20-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-7830581,,20-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-7818871,,20-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-1607264,,05-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-7863771,,05-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-8981491,,05-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-9293951,,05-OCT-14,17-OCT-14,VALIDATION_FAILED,"
"1-2148201,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2227451,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2835451,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-10680701,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2096727,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2138481,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2164424,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-2211533,,15-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-68928301,,01-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-69989003,,01-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-41215071,,01-SEP-14,17-OCT-14,VALIDATION_FAILED,"
"1-39638131,Requested,01-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-39745055,Requested,01-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-37853880,Requested,01-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-39091805,Requested,01-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-43692401,Requested,01-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-47376041,Requested,01-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-47390691,Requested,01-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-47394351,Requested,01-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-47394531,Requested,01-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-3107517,Pending,20-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-7129401,Pending,20-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-7808863,Pending,20-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-7864181,Pending,20-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-7864382,Pending,20-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-7864731,Pending,20-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-7830581,Pending,20-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-7864871,Pending,20-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-7818871,Pending,20-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-7882801,Pending,20-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-1607264,Decided,05-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-6790084,Decided,05-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-7863771,Decided,05-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-7865091,Decided,05-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-8981491,Decided,05-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-9296891,Decided,05-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-9293951,Decided,05-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2144261,Decided,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2148201,Decided,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
